landmarks:
1,4.11168,2.71494,-0.0411539
2,3.95338,2.79603,-0.0286725
3,4.22286,4.21695,1.21154
4,4.02037,4.24009,-0.032632
5,4.04855,4.32211,1.22212
6,4.34283,3.44784,1.31594
7,4.78169,-3.12993,-0.00254168
8,5.82796,0.0871115,3.35646
9,7.64878,7.04956,3.85517
10,4.49277,-3.14942,1.76279
11,4.43644,-4.64098,1.69635
12,4.39983,-4.58966,1.29054
13,5.08124,2.61651,-0.00766131
14,4.149,2.71881,1.29292
15,5.90337,0.11804,3.61273
16,5.82168,1.31792,3.58106
17,4.59189,1.31861,1.78335
18,5.18114,-3.12549,3.35643
19,3.74607,-3.95711,-0.00516306
20,3.87018,1.03636,2.92638
21,3.89064,-2.7179,1.48239
22,4.18767,-4.40154,-0.00495963
23,3.82541,2.22398,1.20647
24,4.46313,1.65195,1.50251
25,4.23509,-2.91618,1.02603
26,4.6467,1.30374,0.441638
27,4.81066,1.33812,0.203602
28,4.73965,2.10103,3.66102
29,2.87642,-3.99197,2.05086
30,3.07046,0.25521,2.4805
31,5.25935,0.355522,0.673786
32,5.06354,-2.4706,3.4637
33,5.00707,-1.98867,3.44519
34,4.6564,0.111641,0.440083
35,4.66052,-1.44031,1.49064
36,3.0071,-3.87989,2.03715
37,5.04389,-0.748466,3.39557
38,2.6752,-3.83048,2.02078
39,5.15979,-3.12649,5.0911
40,5.20078,1.31547,5.11115
41,3.32078,4.70008,1.22477
42,2.81828,-4.05015,0.0543254
43,0.380938,-0.00532254,-0.0422773
45,2.65156,-3.79817,0.540862
46,3.29721,-4.76615,3.82153
47,0.807971,-0.00497223,-0.0407113
48,5.42284,-1.22471,5.43568
51,5.19692,4.46821,1.41133
70,4.18758,4.20996,-0.0520759
76,4.60076,-1.65616,1.48489
77,4.58491,1.71171,2.69799
81,5.96894,4.80168,6.68805
89,2.81905,-4.05821,3.03615
106,3.19742,-4.5972,0.692218
107,4.63293,1.12225,0.59465
108,4.22434,2.80184,0.356195
109,4.83201,-3.21403,0.137909
110,4.93187,4.44518,5.7333
111,4.98734,-4.43401,1.84917
112,4.6402,-3.20027,1.22825
113,5.25698,0.449334,4.13297
114,5.33968,-0.844253,3.60584
115,4.58834,0.10994,0.265461
118,4.60366,1.83331,3.55107
120,3.08625,-4.43038,0.116114
121,1.98238,0.429086,0.0215657
124,5.25874,4.81512,1.91161
